NIN ID,Facility Name,FACILITY_TYPE,State,District,Taluka,Block,Entry Month,Individuals empanelled,Community Based Assessment Checklist filled,HTN Individuals screened Male,HTN Individuals screened Female,HTN Individuals screened Other,HTN Newly diagnosed Male,HTN Newly diagnosed Female,HTN Newly diagnosed Other,HTN On treatment Male,HTN On treatment Female,HTN On treatment Other,DM Individuals screened Male,DM Individuals screened Female,DM Individuals screened Other,DM Newly diagnosed Male,DM Newly diagnosed Female,DM Newly diagnosed Other,DM On treatment Male,DM On treatment Female,DM On treatment Other,OC Individuals screened Male,OC Individuals screened Female,OC Individuals screened Other,OC Newly diagnosed Male,OC Newly diagnosed Female,OC Newly diagnosed Other,OC On treatment male,OC On treatment Female,OC On treatment Other,BC Individuals screened female,BC Newly diagnosed female,BC On treatment female,CC Individuals screened female,CC Newly diagnosed female,CC On treatment female,Individuals referred for screening male,Individuals referred for screening female,Individuals referred for screening other,Newly diagnosed Male,Newly diagnosed Female,Newly diagnosed Other,On treatment Male,On treatment Female,On treatment Other,Total Patients received antihypertensive medicines at this centre,Total Patients received ant-diabetic medicines at this centre,Medicines_TPR_AO_M,Total TB patients received DOTS from the centre,Medicines_CSOM_EOM,Availability of functional BP apparatus,Availability of functional glucometer,Closing stock of glucostrips,Performance/team based incentives for MO/SN/CHO,Team based incentives for ASHA/MPW,JAS monthly meeting conducted,Data Source,Entry Date,Entry Update Date,Facility Type
8317876145,HSC ASANBANI,SHC,Jharkhand,Purbi Singhbhum,BAHARAGORA,BAHARAGORA,31-05-24,141,104,51,91,0,6,2,0,16,13,0,51,91,0,5,2,0,18,14,0,51,91,0,0,0,0,0,0,0,91,0,0,0,0,0,0,11,0,1,0,0,6,2,0,4,2,0,0,0,Yes,Yes,200,Yes,Yes,No,Android APP,20-06-24 11:29,N/A,N/A
7143337744,HSC Haldajuri,SHC,Jharkhand,Purbi Singhbhum,DHALBHUMGARH,DHALBHUMGARH,31-05-24,0,78,36,42,0,5,4,0,5,4,0,36,42,0,0,2,0,0,2,0,36,42,0,0,0,0,0,0,0,39,0,0,41,0,0,6,6,0,1,0,0,1,0,0,9,2,0,1,0,Yes,Yes,47,No,No,No,Android APP,20-06-24 11:19,N/A,N/A
1133272615,HSC MASIA,SHC,Jharkhand,Gumla,VERNO,VERNO,31-05-24,0,0,52,68,0,2,3,0,1,2,0,52,68,0,1,0,0,0,1,0,52,68,0,0,0,0,0,0,0,68,0,0,68,0,0,8,10,0,0,0,0,1,0,0,1,1,0,0,0,Yes,Yes,55,No,No,No,Android APP,20-06-24 11:06,N/A,N/A
4342581487,HSC DUDIA,SHC,Jharkhand,Gumla,VERNO,VERNO,31-05-24,0,0,69,76,0,2,0,0,2,0,0,69,76,0,0,1,0,0,1,0,69,76,0,0,0,0,0,0,0,76,0,0,76,0,0,2,4,0,0,0,0,2,3,0,0,0,0,0,0,Yes,Yes,400,No,No,No,Android APP,20-06-24 9:48,N/A,N/A
5537126152,HSC KARKARI,SHC,Jharkhand,Gumla,SISAI,SISAI,31-05-24,170,170,70,100,0,2,3,0,2,3,0,70,100,0,2,1,0,2,1,0,70,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,200,No,No,No,Android APP,20-06-24 7:40,N/A,N/A
3767836178,HSC ASHEHAR,SHC,Jharkhand,Palamu,PANKI,PANKI,31-05-24,315,131,51,80,0,1,4,0,1,4,0,51,80,0,2,3,0,2,3,0,51,80,0,0,0,0,0,0,0,80,0,0,80,0,0,1,4,0,1,0,0,1,0,0,5,5,N/A,1,N/A,Yes,Yes,612,No,No,No,WEB Portal,20-06-24 5:04,N/A,N/A
3677856456,HSC MAKRO,SHC,Jharkhand,Dumka,DUMKA,DUMKA,31-05-24,186,75,33,42,0,0,0,0,9,6,0,33,42,0,0,0,0,9,3,0,33,42,0,0,0,0,0,0,0,15,0,0,0,0,0,4,2,0,2,0,0,1,0,0,0,0,0,0,0,Yes,Yes,50,No,No,No,Android APP,19-06-24 21:08,19-06-24 21:10,N/A
2448681367,HSC GOPIBANDH,SHC,Jharkhand,Deogarh,SARATH,SARATH,31-05-24,122,0,57,65,0,0,0,0,3,1,0,57,65,0,0,0,0,4,2,0,57,65,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,158,No,Yes,No,Android APP,19-06-24 20:18,N/A,N/A
4176513119,HSC KOILISUTA,SHC,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,31-05-24,362,27,19,18,0,0,2,0,2,4,0,19,21,0,1,0,0,2,3,0,14,13,0,0,0,0,0,0,0,13,0,0,13,0,0,4,12,0,0,0,0,1,0,0,6,5,0,1,0,Yes,Yes,"2,313",No,No,No,Android APP,19-06-24 19:34,N/A,N/A
1785836824,HSC BALAMPUR,SHC,Jharkhand,Deogarh,DEVIPUR,DEVIPUR,31-05-24,6,40,50,59,0,22,18,0,22,18,0,30,12,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,0,0,0,Yes,Yes,50,Yes,Yes,Yes,Android APP,19-06-24 16:12,N/A,N/A
4631411511,HSC BEGAMPURA,SHC,Jharkhand,Palamu,HUSSAINABAD,HUSSAINABAD,31-05-24,45,45,20,25,45,0,0,0,0,0,0,20,25,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,No,Yes,No,Android APP,19-06-24 15:25,N/A,N/A
8638432628,HSC DUGNI,SHC,Jharkhand,Sarikela-Kharswana,Saraikela,SARAIKELA,31-05-24,10,10,28,19,0,0,0,0,1,1,0,28,19,0,0,0,0,1,0,0,28,19,0,0,0,0,0,0,0,19,0,1,19,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,Yes,Yes,28,No,No,Yes,Android APP,19-06-24 11:53,19-06-24 11:54,N/A
4366387415,HSC BASMATA,SHC,Jharkhand,Dumka,DUMKA,DUMKA,31-05-24,216,86,32,54,0,1,0,0,10,7,0,32,54,0,0,1,0,7,5,0,32,54,0,0,0,0,0,0,0,54,0,0,0,0,0,5,4,0,1,0,0,3,3,0,17,12,0,0,0,Yes,Yes,20,No,No,No,Android APP,19-06-24 10:42,N/A,N/A
1133164168,UHWC Ward 14,UHWCs,Jharkhand,Ranchi,KANKE,KANKE,31-05-24,0,0,42,60,0,42,60,0,42,60,0,20,24,0,20,24,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,Yes,Yes,115,No,No,No,Android APP,19-06-24 10:34,N/A,N/A
2734817642,UAAM-Patra Kulhi,UHWCs,Jharkhand,Dhanbad,DHANBAD-CUM-KENDUADIH-CUM-JAGATA,DHANBAD,31-05-24,0,0,15,6,0,0,0,0,12,5,0,7,5,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,Yes,No,0,No,No,No,Android APP,19-06-24 9:56,N/A,N/A
4674813276,UAAM-Gausala Road,UHWCs,Jharkhand,Dhanbad,Jharia-Cum-Jorapokhar-Cum-Sindri,N/A,31-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,Yes,No,0,No,No,No,WEB Portal,19-06-24 9:08,N/A,N/A
3213151461,HSC KHATANGA,SHC,Jharkhand,Khunti,KHUNTI,KHUNTI,31-05-24,126,57,27,30,0,0,0,0,11,13,0,27,30,0,0,0,0,2,7,0,27,30,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,0,Yes,Yes,504,No,No,No,Android APP,18-06-24 20:20,N/A,N/A
6247682823,HSC PATHANMARA,SHC,Jharkhand,Sarikela-Kharswana,Saraikela,SARAIKELA,31-05-24,0,0,29,71,0,5,7,0,5,7,0,29,71,0,2,3,0,2,3,0,27,71,0,0,0,0,0,0,0,71,0,0,71,0,0,2,2,0,0,0,0,2,2,0,8,5,0,0,0,Yes,Yes,50,No,No,Yes,Android APP,18-06-24 15:36,N/A,N/A
1115712448,UPHC Godda Sadar,UPHC,Jharkhand,Godda,GODDA,GODDA SADAR,31-05-24,0,729,23,23,0,23,23,0,23,23,0,23,23,0,23,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,0,7,7,0,46,46,N/A,14,N/A,Yes,Yes,"1,300",Yes,Yes,No,WEB Portal,18-06-24 12:43,N/A,N/A
8782352820,HSC CHURURIYA,SHC,Jharkhand,Dhanbad,TUNDI,TUNDI,31-05-24,426,236,124,133,0,3,2,0,15,18,0,123,129,0,3,4,0,25,27,0,115,76,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,3,1,0,6,9,0,0,0,Yes,Yes,100,Yes,Yes,No,Android APP,18-06-24 12:38,N/A,N/A
8181443766,HSC KAIRACHHATAR,SHC,Jharkhand,Pakaur,MAHESHPUR,MAHESHPUR,31-05-24,66,0,26,39,0,1,1,0,1,1,0,26,39,0,0,0,0,0,0,0,26,39,0,0,0,0,0,0,0,30,0,0,25,0,0,6,12,0,1,1,0,1,1,0,2,0,0,0,0,No,No,12,No,No,No,Android APP,18-06-24 12:10,N/A,N/A
1343873764,HSC Kinderdega,SHC,Jharkhand,Simdega,SIMDEGA,SIMDEGA,31-05-24,68,68,19,49,0,0,1,0,0,1,0,19,49,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,115,No,No,No,Android APP,18-06-24 10:56,N/A,N/A
2653883765,HSC KHOKHO,SHC,Jharkhand,Ramgarh,GOLA,GOLA,31-05-24,124,15,50,74,0,3,13,0,3,1,0,50,74,0,6,2,0,2,4,0,50,74,0,0,0,0,0,0,0,74,0,0,74,0,0,6,33,0,1,0,0,1,0,0,2,4,0,0,0,Yes,Yes,150,Yes,Yes,No,Android APP,18-06-24 7:08,N/A,N/A
2642343871,HSC BAREDA,SHC,Jharkhand,Sarikela-Kharswana,NIMDIH,NIMDIH,31-05-24,0,0,60,60,0,0,0,0,10,15,0,8,12,0,0,0,0,2,3,0,60,60,0,0,0,0,0,0,0,60,0,0,60,0,0,1,1,0,0,0,0,1,0,0,25,5,0,0,0,Yes,Yes,80,No,No,No,Android APP,17-06-24 16:14,17-06-24 16:17,N/A
